Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S
B47	bin.25_sub	56.48	2) medium quality	82.28	5.16	13.33	Oscillibacter sp.	species	0.854	Oscillibacter sp.	species	0.854	10091	1.9	17.23	249	40232	1821	22	0	0	0
B47	bin.3_sub	93.07	3) high quality Nayfach	96.92	0.77	0	Bacteroidales	order	0.664	Parabacteroides sp.	species	0.529	26606	3.53	18.07	222	85213	2970	40	0	0	0
B47	bin.32	81.67	2) medium quality	88.37	1.34	50	Clostridiales	order	0.736	Clostridiales bacterium UBA6386	species	0.657	11262	1.96	19.3	231	40816	1753	25	0	0	1
B47	bin.33	91.12	3) high quality Nayfach	91.12	0	0	uncultured Clostridiales bacterium	species	0.744	Unclassified	Unclassified	0.503	55219	1.95	16.51	65	133842	1768	41	0	0	0
B47	bin.43	90.7	3) high quality Nayfach	93.1	0.48	0	Bacteroides sp. CAG:709	species	0.84	Unclassified	Unclassified	0.527	51223	2.75	27.61	81	185015	2145	37	0	0	0
B47	maxbin.002	95.8	3) high quality Nayfach	95.8	0	0	Clostridiales	order	0.69	Christensenellaceae bacterium Phil1	species	0.265	74727	1.84	102.41	50	260256	1761	45	0	0	0
B47	maxbin.004	96.19	3) high quality Nayfach	97.99	0.36	50	Ruminococcaceae bacterium	species	0.811	Ruminococcaceae bacterium	species	0.811	153556	2.01	31.58	52	261010	1832	49	1	0	3
B47	maxbin.008_sub	89.58	4) high quality Bowers	91.98	0.48	0	Bacteroidales bacterium UBA6360	species	0.875	Bacteroidales bacterium UBA6360	species	0.875	61769	3.1	24.11	130	155781	2398	47	1	14	1
B47	maxbin.013_sub	100	3) high quality Nayfach	100	0	0	Lachnospiraceae	family	0.698	Unclassified	Unclassified	0.426	54061	2.49	19.1	85	127646	2299	36	0	0	0
B47	unbinned	-38633.5	0) really bad	100	7746.7	3.08	Bacteria	superkingdom	0.663	Unclassified	Unclassified	0.378	1148	253.88	0	556909	161637	0	2286	50	64	98
B48	14	79.48	2) medium quality	88.03	1.71	0	Bacteria	superkingdom	0.725	Cyanobacteria bacterium UBA4641	species	0.411	12490	1.79	13.63	198	36095	1689	33	0	0	0
B48	23	90.6	3) high quality Nayfach	90.6	0	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.935	Unclassified	Unclassified	0.935	13993	1.82	11.01	208	52622	1669	27	1	0	0
B48	49_sub	49.32	2) medium quality	60.42	2.22	14.29	Ruminococcaceae bacterium	species	0.809	Ruminococcaceae bacterium	species	0.809	2051	1.18	5.39	602	9118	1082	6	0	0	0
B48	53	79.39	3) high quality Nayfach	94.44	3.01	20	Clostridium sp. CAG:510	species	0.967	Clostridium sp. CAG:510	species	0.967	13767	2.4	9.37	241	48694	2103	21	0	0	0
B48	58	87.26	3) high quality Nayfach	93.96	1.34	0	Ruminococcaceae	family	0.675	Ruminococcaceae bacterium	species	0.573	10394	1.66	10.17	241	36082	1496	17	0	0	0
B48	61	22.27	2) medium quality	57.37	7.02	62.5	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.756	Unclassified	Unclassified	0.756	1862	1.49	6.14	799	14708	1299	15	0	0	0
B48	63	71.27	2) medium quality	83.07	2.36	50	Sutterella	genus	0.941	Sutterella sp.	species	0.629	3406	1.67	6.21	593	16067	1628	26	0	0	0
B48	bin.1	93.58	3) high quality Nayfach	93.58	0	0	Bacteroidales	order	0.678	Barnesiella sp.	species	0.377	16672	2.81	13.89	225	81867	2259	37	0	0	0
B48	bin.2_sub	69.97	2) medium quality	78.37	1.68	0	Ruminococcus	genus	0.661	Ruminococcus sp. AF17-11	species	0.182	6870	1.54	8.85	253	24396	1391	26	0	0	2
B48	bin.21	92.17	3) high quality Nayfach	99.52	1.47	0	Roseburia	genus	0.689	Roseburia sp.	species	0.249	40621	2.57	18.1	93	142574	2334	39	0	0	0
B48	maxbin.008	97.32	3) high quality Nayfach	97.32	0	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.771	Unclassified	Unclassified	0.771	110114	1.93	28.4	29	431286	1719	41	0	0	1
B48	unbinned	-22505.7	0) really bad	100	4521.14	4.67	Bacteria	superkingdom	0.662	Unclassified	Unclassified	0.191	1637	178.87	11.57	330374	153810	0	1447	37	51	76
B49	0	37.12	1) low quality	40.52	0.68	0	Lentisphaeria bacterium	species	0.809	Lentisphaeria bacterium	species	0.809	1610	2.16	5.73	1327	11300	2065	11	0	0	0
B49	12	92.95	2) medium quality	98.05	1.02	0	Ruminococcaceae bacterium	species	0.975	Ruminococcaceae bacterium	species	0.975	8032	2.33	14.18	391	25550	1973	24	0	0	0
B49	35	80.17	2) medium quality	92.32	2.43	16.67	Clostridium sp. CAG:138	species	0.958	Clostridium sp. CAG:138	species	0.958	7762	1.8	9.5	329	24408	1629	29	0	0	2
B49	37	11.81	0) really bad	75.81	12.8	61.14	Enterobacter cloacae complex	species group	0.73	Enterobacter cloacae complex	species group	0.652	4241	4.07	9.56	1134	16394	4166	14	0	0	2
B49	40_sub	77.79	2) medium quality	78.89	0.22	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.756	Unclassified	Unclassified	0.756	5141	1.93	8.98	485	19423	1582	16	0	0	1
B49	42	36.81	2) medium quality	55.96	3.83	26.67	Prevotella	genus	0.665	Prevotella sp. AM23-5	species	0.275	2199	2.02	8.11	991	12716	1721	7	0	0	0
B49	50_sub	47.1	1) low quality	47.45	0.07	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.706	Unclassified	Unclassified	0.706	1701	0.95	5.62	574	6232	865	2	0	0	0
B49	52_sub	-2.13	1) low quality	43.62	9.15	4.17	Erysipelotrichaceae bacterium	species	0.735	Erysipelotrichaceae bacterium	species	0.735	1461	0.87	6.33	576	9556	756	4	0	0	0
B49	62	49.44	2) medium quality	62.29	2.57	33.33	Ruminococcus	genus	0.928	uncultured Ruminococcus sp.	species	0.55	1933	1.49	6.12	816	9350	1516	7	0	0	0
B49	67	85.8	2) medium quality	91.55	1.15	20	Ruminococcus sp. CAG:563	species	0.96	Ruminococcus sp. CAG:563	species	0.96	4747	2	8.13	526	17342	1764	10	0	0	1
B49	69	75.62	2) medium quality	87.37	2.35	20	Clostridia bacterium	species	0.767	Clostridia bacterium	species	0.767	4724	1.62	9.38	416	18749	1540	13	0	0	0
B49	70	93.29	2) medium quality	93.29	0	0	Eubacterium sp. CAG:251	species	0.89	Eubacterium sp. CAG:251	species	0.89	5559	1.59	11.3	358	22676	1380	17	0	0	1
B49	74	97.05	3) high quality Nayfach	97.05	0	0	Clostridium sp. CAG:413	species	0.994	Clostridium sp. CAG:413	species	0.994	23514	2.19	14.26	151	70350	1938	26	0	0	0
B49	76	80.01	2) medium quality	94.26	2.85	16.67	Ruminococcus	genus	0.662	Ruminococcus sp.	species	0.213	3717	2.05	7.8	675	19603	1790	17	0	0	1
B49	83	39.08	2) medium quality	88.88	9.96	96	Ruminococcaceae bacterium	species	0.882	Ruminococcaceae bacterium	species	0.882	7549	2.36	35.82	520	34383	2200	42	0	0	1
B49	9	66.21	2) medium quality	76.26	2.01	16.67	uncultured Ruminococcus sp.	species	0.966	uncultured Ruminococcus sp.	species	0.966	2112	1.13	6.22	566	15920	870	5	0	0	0
B49	bin.10	97.34	3) high quality Nayfach	98.79	0.29	0	Succinatimonas	genus	0.956	Succinatimonas sp. CAG:777	species	0.49	71986	2.27	41.36	55	173060	1925	43	0	0	0
B49	bin.15_sub	40.73	1) low quality	40.73	0	0	Ruminococcaceae bacterium	species	0.94	Ruminococcaceae bacterium	species	0.94	4100	0.82	7.35	202	8752	741	4	0	0	0
B49	bin.16_sub	20.54	2) medium quality	50.64	6.02	10.53	Clostridium sp. CAG:343	species	0.664	Clostridium sp. CAG:343	species	0.664	4317	1.21	8.48	283	24858	1146	28	0	0	0
B49	bin.2	87.86	3) high quality Nayfach	93.41	1.11	0	Alistipes sp. CAG:514	species	0.885	Alistipes sp. CAG:514	species	0.885	83660	2.77	51.74	49	186894	2193	40	0	0	0
B49	bin.20_sub	83.87	2) medium quality	85.57	0.34	0	Clostridiales	order	0.669	Clostridiales bacterium	species	0.16	12095	2.28	13.59	248	42959	2060	33	0	0	0
B49	bin.21	74.44	2) medium quality	85.64	2.24	60	Clostridiales bacterium UBA5901	species	0.79	Unclassified	Unclassified	0.61	15917	2.92	25.66	288	88123	2756	36	0	0	3
B49	bin.24	90.36	3) high quality Nayfach	95.41	1.01	0	Butyrivibrio crossotus	species	0.901	Butyrivibrio crossotus	species	0.901	14844	2.09	16.19	195	95416	1971	18	1	0	0
B49	bin.34	81.7	2) medium quality	87.3	1.12	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.702	Unclassified	Unclassified	0.702	24321	2.22	14.62	130	103785	2017	34	0	0	0
B49	bin.45	91.24	2) medium quality	93.59	0.47	0	Clostridiales bacterium	species	0.982	Clostridiales bacterium	species	0.982	9942	2.61	10.88	322	42793	2233	34	0	0	1
B49	maxbin.011_sub	59.27	2) medium quality	77.72	3.69	71.43	Catabacter sp. UBA7571	species	0.766	Unclassified	Unclassified	0.456	10812	1.59	26.87	267	45242	1371	33	1	0	0
B49	maxbin.048_sub	32.34	2) medium quality	63.79	6.29	0	Bacteria	superkingdom	0.761	Firmicutes bacterium CAG:321	species	0.487	2122	0.99	7.11	497	15287	857	14	0	0	1
B49	unbinned	-36338.25	0) really bad	100	7287.65	3.2	Bacteria	superkingdom	0.664	Unclassified	Unclassified	0.244	1167	281.15	0	590122	115629	0	2370	63	73	104
B5	100	64.63	2) medium quality	71.08	1.29	0	Ruminococcaceae bacterium UBA6454	species	0.864	Ruminococcaceae bacterium UBA6454	species	0.864	2821	1.6	5.73	643	21441	1521	14	0	0	0
B5	102	65.73	2) medium quality	71.93	1.24	33.33	Clostridiales	order	0.664	Unclassified	Unclassified	0.466	3477	1.29	7.8	458	17784	1147	9	0	0	0
B5	103	93.29	3) high quality Nayfach	96.64	0.67	0	Ruminococcaceae	family	0.782	uncultured Ruminococcus sp.	species	0.572	24015	2.55	17.78	163	120870	2308	38	0	0	0
B5	18	96.98	3) high quality Nayfach	96.98	0	0	Prevotella sp. CAG:873	species	0.994	Prevotella sp. CAG:873	species	0.994	44581	2.48	35.25	92	99109	1972	39	0	0	0
B5	28	90.05	3) high quality Nayfach	90.05	0	0	Clostridiales	order	0.688	uncultured Ruminococcus sp.	species	0.174	21156	1.53	13.14	109	57945	1255	37	1	0	0
B5	31	91.76	3) high quality Nayfach	95.81	0.81	0	Clostridiales	order	0.724	Unclassified	Unclassified	0.529	84250	2.18	22.08	67	195767	2028	40	0	0	0
B5	33	95.28	3) high quality Nayfach	97.23	0.39	0	Ruminococcaceae bacterium	species	0.963	Ruminococcaceae bacterium	species	0.963	17120	2.02	12.57	163	64838	1857	26	0	0	1
B5	36	71	2) medium quality	82.05	2.21	28.57	Escherichia coli	species	0.692	Escherichia coli	species	0.692	2972	3.61	5.73	1377	17215	3521	26	0	0	0
B5	38	35.73	1) low quality	41.33	1.12	0	Elusimicrobia	phylum	0.804	Elusimicrobia bacterium UBA5880	species	0.41	1582	0.56	4.35	355	4841	510	15	0	0	0
B5	39	73.23	2) medium quality	77.63	0.88	50	Clostridia bacterium	species	0.755	Clostridia bacterium	species	0.755	2741	1.3	6.34	538	13660	1285	8	0	0	0
B5	5	96.22	3) high quality Nayfach	99.37	0.63	0	Dialister sp.	species	0.675	Dialister sp.	species	0.675	12162	2.09	13	261	40948	1722	45	0	0	0
B5	69	86.72	2) medium quality	89.07	0.47	0	Life	life	0.668	Unclassified	Unclassified	0.279	3751	1.17	6.81	384	20541	1287	29	0	0	1
B5	7_sub	-103.46	0) really bad	80.54	36.8	5.83	Firmicutes	phylum	0.684	Faecalibacterium prausnitzii	species	0.179	6013	4.04	15.16	718	38157	3813	49	0	0	1
B5	73	94.47	3) high quality Nayfach	94.47	0	0	Prevotella sp.	species	0.9	Prevotella sp.	species	0.9	35968	2.58	15.97	107	151200	2008	41	0	1	1
B5	85_sub	39.41	2) medium quality	55.56	3.23	12.5	Bacteria	superkingdom	0.694	uncultured bacterium	species	0.326	1834	1.4	5.62	788	11076	1353	8	0	1	0
B5	91	97.05	3) high quality Nayfach	97.05	0	0	Clostridium sp. CAG:413	species	1	Clostridium sp. CAG:413	species	1	72942	2.18	18.51	46	128877	1937	37	0	0	1
B5	bin.12	93.88	3) high quality Nayfach	93.88	0	0	Akkermansia muciniphila	species	0.886	Akkermansia muciniphila	species	0.886	21338	2.66	9.47	195	80295	2351	46	0	0	0
B5	bin.20	63.2	2) medium quality	75	2.36	33.33	uncultured bacterium	species	0.869	uncultured bacterium	species	0.869	6473	2.76	9.41	470	31655	2131	39	0	0	0
B5	bin.22	97.38	3) high quality Nayfach	97.38	0	0	Christensenellaceae bacterium Phil1	species	0.881	Christensenellaceae bacterium Phil1	species	0.881	31182	1.79	12.59	86	84200	1681	32	0	0	0
B5	bin.25	84.49	2) medium quality	89.14	0.93	50	Clostridiales bacterium	species	0.992	Clostridiales bacterium	species	0.992	24802	1.41	24.84	86	55761	1257	32	0	0	0
B5	bin.29_sub	82.39	2) medium quality	85.74	0.67	100	Clostridiales	order	0.664	Ruminococcaceae bacterium	species	0.568	21680	2.17	12.79	148	86262	2015	27	0	0	1
B5	bin.30	67.3	2) medium quality	67.3	0	0	Bacteroidales	order	0.667	uncultured Prevotellaceae bacterium	species	0.479	32079	1.69	20.99	78	94108	1375	16	0	0	0
B5	bin.33	81.51	3) high quality Nayfach	93.81	2.46	25	Alistipes sp. CAG:514	species	0.727	Unclassified	Unclassified	0.455	41932	3.45	143.33	113	202534	2734	43	1	0	0
B5	bin.39	84.94	3) high quality Nayfach	90.94	1.2	100	Ruminococcaceae bacterium	species	0.895	Ruminococcaceae bacterium	species	0.895	49743	1.85	29.49	63	220877	1733	42	0	0	2
B5	bin.48	85.79	2) medium quality	89.19	0.68	0	Bacteria	superkingdom	0.681	uncultured bacterium	species	0.23	37500	2.23	26.06	92	108326	1744	46	0	0	0
B5	bin.50	92.1	3) high quality Nayfach	97.15	1.01	0	Ruminococcus champanellensis 18P13 = JCM 17042	strain	0.962	Ruminococcus champanellensis 18P13 = JCM 17042	strain	0.962	23000	2.22	10.27	155	80687	2044	32	0	0	1
B5	bin.6	92.19	3) high quality Nayfach	94.89	0.54	0	Bacteroidales bacterium UBA4621	species	0.912	Bacteroidales bacterium UBA4621	species	0.912	43228	2.22	22.63	76	96929	1817	35	0	0	0
B5	maxbin.014_sub	78.77	2) medium quality	88.92	2.03	10	Bacteroides sp. CAG:1060	species	0.811	Bacteroides sp. CAG:1060	species	0.811	20078	1.91	14.5	213	44753	1710	43	1	12	2
B5	maxbin.039_sub	3.13	1) low quality	28.93	5.16	0	Bacteria	superkingdom	0.666	Unclassified	Unclassified	0.266	1761	1.38	5.99	750	46054	1393	27	1	0	2
B5	unbinned	-36847.5	0) really bad	100	7389.5	2.91	Life	life	0.663	Unclassified	Unclassified	0.328	1264	245.46	0	522250	110202	0	2160	77	74	110
B50	17	70.26	2) medium quality	78.46	1.64	40	Sutterella	genus	0.956	Sutterella sp.	species	0.547	2988	1.56	6.51	594	18243	1504	27	0	0	0
B50	2	83.51	2) medium quality	90.66	1.43	25	Prevotellaceae bacterium	species	0.975	Prevotellaceae bacterium	species	0.975	7801	2.6	10.02	437	28193	1989	38	0	0	0
B50	23	54.33	2) medium quality	65.18	2.17	16.67	Ruminococcaceae	family	0.687	[Eubacterium] siraeum V10Sc8a	strain	0.291	2362	1.78	5.78	834	8878	1548	7	0	0	1
B50	30	55.21	2) medium quality	75.46	4.05	11.11	Bacteria	superkingdom	0.668	Lentisphaeria bacterium	species	0.238	2813	3.35	6.13	1366	10492	2997	28	0	0	0
B50	31_sub	14.31	1) low quality	24.36	2.01	14.29	Bacteria	superkingdom	0.665	Unclassified	Unclassified	0.206	8022	4	15.1	654	83086	4005	29	0	0	0
B50	35	74.24	2) medium quality	77.34	0.62	0	Desulfovibrio piger	species	0.964	Desulfovibrio piger	species	0.964	2832	1.89	6.01	766	14012	1734	25	0	0	0
B50	42	84.38	3) high quality Nayfach	95.08	2.14	42.86	Alistipes sp. CAG:514	species	0.886	Unclassified	Unclassified	0.534	228790	3.47	101.39	32	403311	2678	44	0	0	0
B50	44	34.1	1) low quality	49.75	3.13	0	Clostridiales	order	0.683	Unclassified	Unclassified	0.324	1849	1.66	6.09	926	9623	1507	12	0	0	0
B50	55	53.25	2) medium quality	77.45	4.84	14.29	Methanomassiliicoccales	order	0.703	Methanomassiliicoccaceae archaeon DOK	species	0.289	2609	1.5	5.92	659	10976	1933	37	0	0	1
B50	79	89.14	3) high quality Nayfach	92.64	0.7	0	Clostridiales bacterium	species	0.963	Clostridiales bacterium	species	0.963	249507	1.57	61.73	12	654501	1412	51	0	1	1
B50	86_sub	55.23	2) medium quality	72.98	3.55	42.86	uncultured Clostridiales bacterium	species	0.708	uncultured Clostridiales bacterium	species	0.598	2631	1.83	6.23	782	9126	1792	14	0	0	0
B50	bin.10_sub	67.29	2) medium quality	87.54	4.05	25	Clostridiales	order	0.713	Ruminococcaceae bacterium	species	0.511	8435	1.78	10.26	259	29559	1568	20	0	0	0
B50	bin.21	83.38	2) medium quality	87.58	0.84	50	Oscillibacter sp.	species	0.975	Oscillibacter sp.	species	0.975	27914	1.81	24.84	103	119098	1684	35	0	0	1
B50	bin.22	97.27	3) high quality Nayfach	97.27	0	0	Ruminococcaceae bacterium	species	1	Ruminococcaceae bacterium	species	1	55282	2.12	21.15	60	139083	1903	41	0	0	1
B50	bin.26	28.59	1) low quality	33.94	1.07	0	uncultured bacterium	species	0.703	uncultured bacterium	species	0.578	3894	0.7	6.5	179	12738	619	3	0	0	0
B50	bin.27	74.56	2) medium quality	74.56	0	0	Akkermansia muciniphila	species	0.897	Akkermansia muciniphila	species	0.897	5944	1.93	6.62	360	22662	1785	38	0	0	0
B50	bin.29	68.29	2) medium quality	68.29	0	0	Clostridiales	order	0.759	Unclassified	Unclassified	0.436	61656	1.52	15.05	43	191237	1414	31	0	0	1
B50	bin.6	88.16	3) high quality Nayfach	95.56	1.48	33.33	Clostridia bacterium	species	0.859	Clostridia bacterium	species	0.859	10970	1.61	11.43	190	41960	1541	19	0	0	0
B50	maxbin.001	96.5	3) high quality Nayfach	96.5	0	0	Firmicutes	phylum	0.675	Christensenellaceae bacterium Phil1	species	0.186	109418	2.1	221.59	47	300187	2018	50	0	2	1
B50	maxbin.004_sub	85.46	2) medium quality	85.46	0	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.873	Unclassified	Unclassified	0.873	131254	1.76	44.66	49	275161	1483	41	2	1	1
B50	maxbin.009	77.4	3) high quality Nayfach	93.55	3.23	0	Christensenellaceae bacterium Phil1	species	0.949	Christensenellaceae bacterium Phil1	species	0.949	19162	2.11	11.92	197	88613	1985	26	0	0	0
B50	unbinned	-33627.85	0) really bad	100	6745.57	2.8	Bacteria	superkingdom	0.664	Unclassified	Unclassified	0.292	1017	219.88	0	517326	76507	0	1746	53	61	80
B52	13	90.5	3) high quality Nayfach	97.1	1.32	20	Clostridium sp. CAG:510	species	0.982	Clostridium sp. CAG:510	species	0.982	31441	2.66	12.16	142	89224	2382	23	0	0	0
B52	2	97.93	3) high quality Nayfach	99.38	0.29	0	Succinatimonas	genus	0.914	Succinatimonas sp. UBA2849	species	0.478	76076	2.44	58.68	58	208295	2109	48	0	0	0
B52	20	92.25	3) high quality Nayfach	95.95	0.74	0	Bacteroides sp. CAG:770	species	0.947	Bacteroides sp. CAG:770	species	0.947	45132	2.88	15.72	112	153965	2251	40	0	0	0
B52	30	69.54	2) medium quality	72.04	0.5	0	Ruminococcaceae bacterium	species	0.903	Ruminococcaceae bacterium	species	0.903	2970	1.36	5.43	529	19615	1250	10	0	0	0
B52	36	95.28	3) high quality Nayfach	96.98	0.34	0	Ruminococcaceae bacterium	species	0.865	Ruminococcaceae bacterium	species	0.865	14341	1.73	11.17	173	51263	1563	28	0	0	1
B52	37	56.77	2) medium quality	66.72	1.99	22.22	unclassified Alphaproteobacteria	no rank	0.7	Unclassified	Unclassified	0.644	2665	1.46	5.28	621	14215	1455	18	0	0	0
B52	4	69.62	2) medium quality	92.37	4.55	54.55	Phascolarctobacterium succinatutens CAG:287	strain	0.818	Phascolarctobacterium succinatutens CAG:287	strain	0.818	3885	2.01	8.52	643	18397	1947	25	0	0	0
B52	46_sub	60.29	2) medium quality	67.69	1.48	66.67	Firmicutes	phylum	0.91	Tyzzerella sp.	species	0.504	2289	1.35	4.95	637	11193	1410	11	0	0	0
B52	58	94.95	3) high quality Nayfach	96.75	0.36	0	Prevotella sp.	species	0.89	Prevotella sp.	species	0.89	32099	2.52	21.36	128	91678	1960	35	0	0	0
B52	67	97.99	3) high quality Nayfach	97.99	0	0	Ruminococcaceae bacterium	species	0.697	Ruminococcaceae bacterium	species	0.697	16540	2.07	15.29	189	62547	1913	27	0	0	0
B52	74	79.63	2) medium quality	86.88	1.45	0	Ruminococcaceae bacterium	species	0.844	Ruminococcaceae bacterium	species	0.844	6390	2.68	7.77	537	28046	2500	29	0	0	0
B52	bin.11	93.28	3) high quality Nayfach	93.28	0	0	Prevotellaceae	family	0.662	Prevotellaceae bacterium	species	0.565	16039	2.39	30.72	206	45456	1891	44	0	0	1
B52	bin.14	88.41	3) high quality Nayfach	93.86	1.09	85.71	Bacteroidales	order	0.681	Unclassified	Unclassified	0.291	14510	2.88	13.87	258	57745	2204	39	0	0	0
B52	bin.19	96.54	3) high quality Nayfach	97.34	0.16	0	Lachnospiraceae	family	0.755	uncultured Lachnospiraceae bacterium	species	0.508	45139	2.58	19.72	85	156676	2284	35	0	0	0
B52	bin.22_sub	71.14	2) medium quality	76.54	1.08	40	Roseburia inulinivorans	species	0.923	Roseburia inulinivorans	species	0.923	6063	2.43	8.2	437	25745	2146	26	0	0	0
B52	bin.24	88.01	2) medium quality	94.41	1.28	0	Sutterella	genus	0.812	Sutterella sp. 63_29	species	0.458	7706	1.89	8.46	277	89233	1688	45	0	0	0
B52	bin.25_sub	92.72	3) high quality Nayfach	97.32	0.92	66.67	Butyrivibrio	genus	0.977	Butyrivibrio crossotus	species	0.593	49647	2.12	22.87	70	188062	2013	34	0	0	0
B52	bin.5	62.78	2) medium quality	62.78	0	0	Sutterella sp.	species	0.768	Sutterella sp.	species	0.768	5103	1.2	6.66	242	20808	1126	23	0	0	0
B52	maxbin.004	86.14	4) high quality Bowers	98.29	2.43	0	Firmicutes	phylum	0.732	Lachnospiraceae bacterium	species	0.52	53544	3.28	45.29	149	198170	2954	42	1	1	1
B52	unbinned	-21930.75	0) really bad	100	4406.15	5.43	Bacteria	superkingdom	0.662	Unclassified	Unclassified	0.195	1603	177.1	8.48	355750	66841	0	1480	30	51	62
B55	0	-187.25	0) really bad	91.1	55.67	91.49	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.821	Unclassified	Unclassified	0.821	4318	2.41	7.87	709	14448	2199	32	0	0	0
B55	12	87.91	3) high quality Nayfach	93.96	1.21	0	Ruminococcaceae bacterium	species	0.838	Ruminococcaceae bacterium	species	0.838	15512	1.84	10.07	181	49912	1664	31	0	0	1
B55	16_sub	-33.62	0) really bad	43.98	15.52	74.77	Prevotella	genus	0.728	Prevotella sp. AM23-5	species	0.377	2728	1.98	85.24	792	10916	1675	24	0	0	1
B55	24_sub	57.6	2) medium quality	65	1.48	0	[Eubacterium] rectale	species	0.692	[Eubacterium] rectale	species	0.692	1858	1.52	4.84	854	7540	1300	12	0	0	0
B55	33	52.43	2) medium quality	61.23	1.76	50	Alphaproteobacteria bacterium UBA6334	species	0.712	Unclassified	Unclassified	0.505	3294	1.55	6.24	579	13464	1578	24	0	0	0
B55	38	80.7	2) medium quality	87.1	1.28	0	Candidatus Melainabacteria bacterium	species	0.955	Candidatus Melainabacteria bacterium	species	0.955	7161	1.66	9.68	312	25329	1516	29	0	0	1
B55	4	12.87	0) really bad	80.82	13.59	22.22	Ruminococcaceae bacterium	species	0.815	Ruminococcaceae bacterium	species	0.815	2919	2.16	7.29	876	20850	1996	31	0	0	0
B55	6	85.35	2) medium quality	87.2	0.37	100	Prevotellaceae	family	0.668	Prevotellaceae bacterium	species	0.338	4528	2.18	9.33	582	21409	1607	19	0	0	0
B55	7	73.28	2) medium quality	79.28	1.2	0	Bacteria	superkingdom	0.662	Unclassified	Unclassified	0.225	2530	1.54	5.37	669	11543	1417	18	0	0	2
B55	bin.5	72.63	3) high quality Nayfach	90.98	3.67	58.33	Firmicutes	phylum	0.804	Lachnospiraceae bacterium	species	0.401	12483	2.91	13.46	309	58101	2603	43	0	0	0
B55	maxbin.003	-441.86	0) really bad	92.79	106.93	55.2	Prevotella	genus	0.765	Prevotella sp.	species	0.311	16585	7.26	64.6	914	142303	5717	69	1	4	3
B55	maxbin.016_sub	-60.92	0) really bad	85.63	29.31	30.12	Clostridiales	order	0.683	Faecalibacterium prausnitzii	species	0.304	2066	3.06	9.33	1560	14141	2898	37	0	0	0
B55	unbinned	-20684.65	0) really bad	100	4156.93	3.02	Bacteria	superkingdom	0.661	Unclassified	Unclassified	0.293	1596	132.81	10.22	284352	102532	0	1262	34	42	66
B56	19	83.12	2) medium quality	91.72	1.72	47.37	Enterobacteriaceae	family	0.861	Escherichia coli	species	0.63	6599	3.82	8.53	786	29904	3558	35	0	0	0
B56	23	73.91	2) medium quality	78.91	1	0	Phascolarctobacterium succinatutens CAG:287	strain	0.782	Phascolarctobacterium succinatutens CAG:287	strain	0.782	2478	1.56	5.83	672	33884	1586	13	0	0	0
B56	26	96.16	3) high quality Nayfach	97.81	0.33	0	Sutterella	genus	0.937	Sutterella sp.	species	0.561	11246	2.12	9.84	285	61018	1982	46	1	0	0
B56	29_sub	82.49	2) medium quality	86.64	0.83	50	Clostridiales bacterium	species	0.954	Clostridiales bacterium	species	0.954	6273	1.4	8.51	301	23178	1284	27	0	0	0
B56	47_sub	96.63	4) high quality Bowers	96.63	0	0	Elusimicrobia	phylum	0.913	Elusimicrobia bacterium UBA5880	species	0.633	73843	1.61	25.8	31	270570	1541	47	1	1	1
B56	49_sub	71.9	2) medium quality	76.25	0.87	20	Ruminococcaceae bacterium	species	0.915	Ruminococcaceae bacterium	species	0.915	3397	1.33	6.57	477	15242	1209	9	0	0	0
B56	70_sub	88.76	2) medium quality	90.41	0.33	0	Succinatimonas	genus	0.842	Succinatimonas sp. UBA2849	species	0.504	6065	1.89	12.87	466	55606	1595	33	0	0	0
B56	71	82.72	2) medium quality	91.82	1.82	25	Ruminococcaceae bacterium	species	0.933	Ruminococcaceae bacterium	species	0.933	4095	2.2	7.23	671	18367	1995	8	0	0	0
B56	80	65.24	2) medium quality	69.19	0.79	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.731	Unclassified	Unclassified	0.731	2671	1.69	6.17	719	9171	1433	9	0	0	0
B56	bin.10	50.32	2) medium quality	55.37	1.01	0	Ruminococcus	genus	0.716	uncultured Ruminococcus sp.	species	0.377	6728	1.05	9.07	179	39621	937	14	0	0	1
B56	bin.17_sub	90.21	3) high quality Nayfach	90.21	0	0	Bacteroides fragilis	species	0.909	Bacteroides fragilis	species	0.909	21616	4.36	13.87	343	85062	3561	30	0	0	0
B56	bin.25	97.27	3) high quality Nayfach	97.27	0	0	Ruminococcaceae bacterium	species	1	Ruminococcaceae bacterium	species	1	99040	2.08	27.3	38	179122	1895	42	0	0	1
